data_hora,potencia_kw,energia_kwh,temperatura_inversor,fonte_id
2025-04-29 21:53:34.345025,0.0,0.0,39.4,2
2025-04-29 22:08:34.345025,0.0,0.0,30.2,2
2025-04-29 22:23:34.345025,0.0,0.0,29.8,2
2025-04-29 22:38:34.345025,0.0,0.0,25.4,2
2025-04-29 22:53:34.345025,0.0,0.0,36.0,2
2025-04-29 23:08:34.345025,0.0,0.0,32.8,2
2025-04-29 23:23:34.345025,0.0,0.0,39.8,2
2025-04-29 23:38:34.345025,0.0,0.0,32.2,2
2025-04-29 23:53:34.345025,0.0,0.0,26.6,2
2025-04-30 00:08:34.345025,0.0,0.0,28.2,2
2025-04-30 00:23:34.345025,0.0,0.0,29.7,2
2025-04-30 00:38:34.345025,0.0,0.0,45.0,2
2025-04-30 00:53:34.345025,0.0,0.0,25.9,2
2025-04-30 01:08:34.345025,0.0,0.0,37.0,2
2025-04-30 01:23:34.345025,0.0,0.0,36.4,2
2025-04-30 01:38:34.345025,0.0,0.0,38.5,2
2025-04-30 01:53:34.345025,0.0,0.0,27.3,2
2025-04-30 02:08:34.345025,0.0,0.0,39.9,2
2025-04-30 02:23:34.345025,0.0,0.0,40.0,2
2025-04-30 02:38:34.345025,0.0,0.0,27.8,2
2025-04-30 02:53:34.345025,0.0,0.0,43.8,2
2025-04-30 03:08:34.345025,0.0,0.0,38.2,2
2025-04-30 03:23:34.345025,0.0,0.0,44.5,2
2025-04-30 03:38:34.345025,0.0,0.0,44.7,2
2025-04-30 03:53:34.345025,0.0,0.0,38.4,2
2025-04-30 04:08:34.345025,0.0,0.0,26.5,2
2025-04-30 04:23:34.345025,0.0,0.0,33.4,2
2025-04-30 04:38:34.345025,0.0,0.0,42.5,2
2025-04-30 04:53:34.345025,0.0,0.0,33.0,2
2025-04-30 05:08:34.345025,0.0,0.0,41.7,2
2025-04-30 05:23:34.345025,0.0,0.0,28.0,2
2025-04-30 05:38:34.345025,0.0,0.0,42.6,2
2025-04-30 05:53:34.345025,0.0,0.0,25.8,2
2025-04-30 06:08:34.345025,0.474,0.119,29.5,2
2025-04-30 06:23:34.345025,0.478,0.119,34.9,2
2025-04-30 06:38:34.345025,0.386,0.097,31.9,2
2025-04-30 06:53:34.345025,0.357,0.089,44.1,2
2025-04-30 07:08:34.345025,1.366,0.342,27.4,2
2025-04-30 07:23:34.345025,1.284,0.321,40.0,2
2025-04-30 07:38:34.345025,0.999,0.25,31.7,2
